"标题","标题链接","brief","keywords","发布时间","新闻类别","采集时的时间"
"中国美术家协会第九次全国代表大会胜利闭幕","http://arts.cctv.com/2018/12/24/ARTIwyArvtPsB12lVuvPBVDc181224.shtml","中国美术家协会第九次全国代表大会于2018年12月24日上午在北京会议中心胜利闭幕。会议于23日选举产生了新一届理事会和以范迪安为主席的主席团等领导机构。",,,"书画","2021-05-27 18:19:06"
"中国美术家协会第九届理事会产生","http://arts.cctv.com/2018/12/23/ARTI5zi5DFekBcSatzCa211g181223.shtml","2018年12月23日上午，中国美术家协会召开第九次全国代表大会第四次全体代表会议，选举产生了新一届理事会理事。",,,"书画","2021-05-27 18:19:06"
"中国美协第九届主席团产生 范迪安任新一届主席","http://arts.cctv.com/2018/12/23/ARTISKeDtfGGqyZLWunhQsuh181223.shtml","2018年12月23日，中国美术家协会召开第九届理事会第一次会议，选举产生了新一届主席团。",,,"书画","2021-05-27 18:19:06"
"黄坤明：描绘时代画卷 展现人民风采 努力开创中国美术事业发展新局面","http://arts.cctv.com/2018/12/23/ARTIx7JpI6H0CJ5QSEcdWAIQ181223.shtml","12月22日，中国美术家协会第九次全国代表大会在北京召开。中共中央政治局委员、中宣部部长黄坤明出席开幕式并讲话。",,,"书画","2021-05-27 18:19:06"
"国博举办李苦禅诞辰120周年艺术展学术研讨会","http://arts.cctv.com/2018/12/17/ARTII8BxsJSU1Ziaa0RIhM8V181217.shtml","12月14日，国家博物馆举办“法古禅心——纪念李苦禅诞辰120周年艺术展”学术研讨会，旨在追溯、感念李苦禅先生的艺术人生和家国情怀，更好诠释“文化脊梁”的时代内涵，弘扬中国精神，增强文化自信。",,,"书画","2021-05-27 18:19:06"
"第三届全球华人少年书法大会网络人气TOP100","http://arts.cctv.com/2018/12/12/ARTIjLP0lMvbRYiTuslk6BTO181212.shtml","第三届全球华人少年书法大会网络人气投票已结束，网络人气TOP100获得“人气之星”称号。",,,"书画","2021-05-27 18:19:06"
"中国美术家协会漫画、少儿美术、雕塑、民族美术艺术委员会在京换届","http://arts.cctv.com/2018/12/12/ARTIaiCEljLqzOrvk2OOlzub181212.shtml","2018年12月11日，“中国美术家协会漫画、少儿美术、雕塑、民族美术艺术委员会换届大会”在北京召开。",,,"书画","2021-05-27 18:19:06"
"无声的呐喊——吴为山权威解释纪念馆雕塑群创作思路","http://arts.cctv.com/2018/12/11/ARTIsGAaGvEJ3zMpXMLqaoPb181211.shtml","中国美术馆馆长、中国城市雕塑家协会主席吴为山先生来到侵华日军南京大屠杀遇难同胞纪念馆，详细分享了他当年创作这些群雕的心路历程。",,,"书画","2021-05-27 18:19:06"
"“2018年度中国书画研讨会”在故宫举行","http://arts.cctv.com/2018/12/08/ARTI0Gp2B5CpRxIZ6kD4oye3181208.shtml","12月7日，由故宫研究院中国书法研究所、中国出版传媒商报社主办的“2018年度中国书画研讨会”在故宫建福宫举行。",,,"书画","2021-05-27 18:19:06"
"（全国）教育书画协会高等美术教育学会2018年会暨艺术教育论坛在京举行","http://arts.cctv.com/2018/12/07/ARTIA65kLJGOPIN7u9u1TMXX181207.shtml","12月5日，（全国）教育书画协会高等美术教育学会2018年学术年会暨综合性大学艺术与设计教育论坛在清华大学美术学院举办。",,,"书画","2021-05-27 18:19:06"
"透过新媒体技术感受文化的温度","http://arts.cctv.com/2018/12/04/ARTIARZ5CJoBUkaQX4pmAFzl181204.shtml","如何在科技飞速发展的进程当中，让古老的文化遗产焕发新的生机，让文化的传承变得有温度、有质感，是我们需要迫切思考的问题。",,,"书画","2021-05-27 18:19:06"
"纳尔逊·曼德拉雕塑揭幕仪式在京举行","http://arts.cctv.com/2018/12/04/ARTIujub3KCu1asNHS2AiDr2181204.shtml","12月3日，为纪念曼德拉诞辰100周年，由雕塑艺术家袁熙坤应邀创作的纳尔逊·罗利赫拉赫拉·曼德拉雕塑揭幕仪式在北京朝阳公园国际名人雕塑园举行。",,,"书画","2021-05-27 18:19:06"
"4.636亿港币拿下 顶尖国宝流离海外80载回到祖国","http://arts.cctv.com/2018/11/29/ARTIlu3IgwTrLLsEtPXIlcxC181129.shtml","11月26日晚，在佳士得香港“不凡-宋代美学一千年”专场中，随着拍卖师清脆的落槌声，流离海外80余年，被论考认定苏东坡唯一亲笔画苏东坡《枯木竹石图》（又名《木石图》）手卷以4.636亿港币（含佣金）成交。",,,"书画","2021-05-27 18:19:06"
"藏医药浴法列入人类非物质文化遗产代表作名录","http://arts.cctv.com/2018/11/29/ARTIV4ym8VOEVhLgHuTvnDey181129.shtml","11月28日，联合国教科文组织保护非物质文化遗产政府间委员会经过评审，通过决议，将中国申报的“藏医药浴法——中国藏族有关生命健康和疾病防治的知识与实践”列入联合国教科文组织人类非物质文化遗产代表作名录。",,,"书画","2021-05-27 18:19:06"
"艺术的力量——进博会里的中国当代艺术","http://arts.cctv.com/2018/11/26/ARTI8vq4IiPJrXilS1bny8yI181126.shtml","11月23日下午，“艺术的力量——进博会里的中国当代艺术”媒体见面会在北京举行。进博会主会场艺术总监童雁汝南等现场分享了他们的艺术创作理念和灵感。",,,"书画","2021-05-27 18:19:06"
"野草诗社成立40周年庆典在京举行","http://arts.cctv.com/2018/11/26/ARTIBX27kFZKNdvXFe9YTO7U181126.shtml","11月25日上午，野草诗社纪念改革开放40周年暨野草诗社成立40周年庆典在北京举行。",,,"书画","2021-05-27 18:19:06"
"“首届中国宣纸出版论坛”在安徽泾县举办","http://arts.cctv.com/2018/11/24/ARTIN4xKTl8JqanKGIqp2htI181124.shtml","11月22日上午，由安徽出版集团和中国宣纸股份有限公司联合发起，中国出版协会、中国新闻出版研究院、中国线装图书文化产业发展联盟、安徽出版集团主办的首届中国宣纸出版论坛在安徽泾县开幕。",,,"书画","2021-05-27 18:19:06"
"故宫上新了，文化走心了","http://arts.cctv.com/2018/11/19/ARTIw2mHYMJpLSuY9lMskeiL181119.shtml","《上新了故宫》是首档由故宫博物院官方出品的文化类综艺，播出才一集就屡屡霸屏朋友圈，登上热搜榜。",,,"书画","2021-05-27 18:19:06"
"2018年全国美术馆馆藏精品展出季一瞥","http://arts.cctv.com/2018/11/19/ARTIWGGdKriV3xZErzFCzv3c181119.shtml","日前， 2018年全国美术馆馆藏精品展出季活动验收评审工作在京举行，从全国72家各级各类美术馆申报的项目中，初选的30个展览项目进京汇报，将评选出10个精品项目进行推广。",,,"书画","2021-05-27 18:19:06"
"“大江弦歌”沈鹏吟江阴诗词品鉴会在京举行","http://arts.cctv.com/2018/11/18/ARTItGkn3rSl4YDoyUNmepLU181118.shtml","11月17日上午，“大江弦歌”沈鹏吟江阴诗词品鉴会在北京举行。艺术界嘉宾们齐聚一堂，共同品鉴沈鹏先生创作的吟咏江阴故里的诗词，学习沈鹏先生潜心笃志、博学精研、执著实现高远艺术追求的精神，共同传承和弘扬中国博大精深的传统文化。",,,"书画","2021-05-27 18:19:06"
"北京美术家协会第六次会员代表大会在京召开","http://arts.cctv.com/2018/11/15/ARTIaPkbmwlDdoJ47wK3B3Sq181115.shtml","11月12日至14日，北京美术家协会第六次会员代表大会在北苑大酒店召开，120余名北京美术界代表欢聚一堂，认真审议九年来北京美协工作，修改协会章程，共商未来五年北京美术事业的繁荣大计，共描未来五年北京美术事业的发展蓝图。",,,"书画","2021-05-27 18:19:06"
"艺术教育能否改变世界","http://arts.cctv.com/2018/11/14/ARTIWBdOof0dZHykTwq2oTd7181114.shtml","日前，“国际美术教育大会”在北京召开，来自30多个国家和地区的114所美术院校、艺术机构的院校长与机构负责人及相关学科知名专家、教授近300人会集中央美术学院，围绕“新时代的美术教育”这一主题，深入探讨美术教育的时代机遇与挑战。",,,"书画","2021-05-27 18:19:06"
"中外博物馆加盟“双十一”背后的文创变革","http://arts.cctv.com/2018/11/07/ARTIkPAzamdyy0EJLIOl2MWc181107.shtml","第十个天猫“双十一”即将到来。今年这场消费嘉年华，多了一位远道而来的客人，这就是大英博物馆。此外，国内的故宫博物院、中国国家博物馆、敦煌研究院、颐和园、苏州博物馆、陕西历史博物馆、上海博物馆等也都将参与其中。",,,"书画","2021-05-27 18:19:06"
"“2018年全国美术馆公共教育年会”在中国美术馆举行","http://arts.cctv.com/2018/11/02/ARTIY5mA0xkNVVOsk84tBVhf181102.shtml","2018年11月1日，由中国美术馆主办的“共享·交融——2018年全国美术馆公共教育年会”在中国美术馆七层学术报告厅隆重举行。来自全国各地约70家美术馆的业界同行和各方面特邀专家学者等共120余人会聚中国美术馆，展开分享交流。",,,"书画","2021-05-27 18:19:06"
"“中国砚都”复评 专家肯定肇庆端砚资源保护工作","http://arts.cctv.com/2018/11/02/ARTIC2OEr4cF7az75aOw6Gov181102.shtml","肇庆七星岩景区作为白端石保护所在地，以创建国家级景区的力度对白端石进行保护，便是一种最好的保护。",,,"书画","2021-05-27 18:19:06"
"中国美协美术工作者职业道德建设委员会在京成立","http://arts.cctv.com/2018/10/31/ARTIjmiscwBWKibdXV9hbATI181031.shtml","10月30日，“中国美协美术工作者职业道德建设委员会成立大会暨第一次全体会议”在中国文联四层报告厅举行。",,,"书画","2021-05-27 18:19:06"
"阿拉善盟“一带一路”国际雕塑公园作品征集大赛在京启动","http://arts.cctv.com/2018/10/29/ARTIFYHVrlOXJf6RSvrokPAu181029.shtml","10月28日，由中国城市雕塑家协会、中共阿拉善盟委员会、阿拉善盟行政公署联合主办的阿拉善盟“一带一路”国际雕塑公园作品征集大赛在北京正式启动，即日起至2018年12月31日前面向全球公开征集60件主题性优秀雕塑作品。",,,"书画","2021-05-27 18:19:06"
"2018海峡两岸汉字节在厦门启幕","http://arts.cctv.com/2018/10/27/ARTIwSqQciVwHvUupUvIB71l181027.shtml","10月26日上午，在厦门市海沧区文化中心，当10个年度汉字依序“跳跃”在眼前时，两岸嘉宾按下手印，共同揭开了2018海峡两岸汉字节的序幕。",,,"书画","2021-05-27 18:19:06"
"“草原四季·全国美术作品展览”创作动员会在京召开","http://arts.cctv.com/2018/10/25/ARTIjIGVdMpne9kwQ4JnOqyD181025.shtml","10月24日，由内蒙古自治区党委宣传部、中国美术家协会、内蒙古自治区文联联合组织的“草原四季·全国美术作品展览”创作动员会在北京召开。",,,"书画","2021-05-27 18:19:06"
"中国书法国际传播研究院在北京语言大学成立","http://arts.cctv.com/2018/10/18/ARTIOF8Lj3jBfnSeBMk0IIzU181018.shtml","全国第一家中国书法国际传播实体研究学术机构——中国书法国际传播研究院于2018年10月16日在北京语言大学举行成立仪式，聘请北京语言大学原校长崔希亮教授任首任院长。",,,"书画","2021-05-27 18:19:06"
"中外大学生在中国美术馆体验传统彩灯制作","http://arts.cctv.com/2018/10/18/ARTIMgD640kItMM0qRunTvQ4181018.shtml","2018年10月12日下午，中国美术馆艺术教育空间迎来了一批特殊的客人。二十多位在华学习的外国留学生和十多位中国大学生共聚一堂，在北京民间艺术家的指导下，体验传统彩灯制作。",,,"书画","2021-05-27 18:19:06"
"大型文化季播节目《上新了·故宫》将开播","http://arts.cctv.com/2018/10/18/ARTIewnM2kN6rmQZttkg5igl181018.shtml","《上新了·故宫》是纪录片《紫禁城》的阶段性成果，在节目中，故宫文化创意新品开发员邓伦、周一围及神秘嘉宾将跟随故宫专家进宫识宝，探寻故宫博物院傲世的珍贵宝藏和深厚的历史文化。",,,"书画","2021-05-27 18:19:06"
"苏轼的十八罗汉像因缘","http://arts.cctv.com/2018/10/15/ARTIg99JjcYWeiliPlYUNnrp181015.shtml","十八罗汉图像是中国美术史上的重要题材，目前较早涉及到十八罗汉的文献见于唐代中叶的散文家李华所撰《杭州余杭县龙泉寺故大律师碑》。",,,"书画","2021-05-27 18:19:06"
"启功先生的结字理论","http://arts.cctv.com/2018/10/15/ARTIGPQql09St72yoDJwQzWD181015.shtml","一个字若要美观，需要讲究笔法与结字（或称结构），在二者之间，启功先生认为结字是首要的问题。启功先生对结字有独到的见解，他对结字的探讨，一方面基于自身的书写体验，一方面也借助坐标方格对法帖中的字形进行观测。",,,"书画","2021-05-27 18:19:06"
"故宫博物院北院区项目正式启动","http://arts.cctv.com/2018/10/12/ARTIA8iADYUrarvODEnF22gQ181012.shtml","2018年10月10日，在故宫博物院建院93周年、“平安故宫”工程实施五年之际，“故宫博物院北院区项目”正式启动。",,,"书画","2021-05-27 18:19:06"
"《国家宝藏》第二季在故宫正式启动","http://arts.cctv.com/2018/10/12/ARTIgO66LBhez6dfXiZxbU72181012.shtml","历经半年多的探索磨砺，备受期待的《国家宝藏》第二季于金秋时节再次吹响持续打造精品节目的号角。10月9日，第二季节目启动仪式在故宫博物院成功举行。",,,"书画","2021-05-27 18:19:06"
"中国文艺志愿者协会第二次全国代表大会在京召开","http://arts.cctv.com/2018/10/12/ARTIrsNGQhOs16H3m0jnSS8g181012.shtml","10月11日，中国文艺志愿者协会第二次全国代表大会、全国文联文艺志愿服务工作会在京开幕。",,,"书画","2021-05-27 18:19:06"
"中国美术馆馆长吴为山为""时代楷模""天眼巨匠南仁东塑像","http://arts.cctv.com/2018/10/09/ARTII58MlkueRAOBDMJLidCr181009.shtml","南仁东是我国著名天文学家，是国家重大科技基础设施项目--""中国天眼""500米口径球面射电望远镜工程（简称FAST）的发起者和奠基人，为我国天文科学事业的发展作出了重要贡献。",,,"书画","2021-05-27 18:19:06"
"雕塑大师克罗德?阿巴吉在中国美术馆解读雕塑艺术","http://arts.cctv.com/2018/09/28/ARTIbWBmyZJdMwdxzjzSyYzZ180928.shtml","9月27日，法兰西艺术院主席、终身院士、雕塑大师克罗德·阿巴吉来到中国美术馆为文化和旅游部国家主题性美术创作项目雕塑专题班学员授课。",,,"书画","2021-05-27 18:19:06"
"“传统工艺设计的启示”非遗设计主题论坛成功举办","http://arts.cctv.com/2018/09/26/ARTIEl587dHT09qZMA7FFSra180926.shtml","9月25日，以“传统工艺设计的启示”为主题的设计论坛在故宫·紫禁书院开展。8位跨领域专家，10位艺术家、设计师，100余位专业嘉宾，汇聚故宫·紫禁书院，分享、探讨当代设计与传统文化、艺术间的译码。",,,"书画","2021-05-27 18:19:06"
"2018华侨城旅游文化节在京启动 旅游盛宴席卷五十城","http://arts.cctv.com/2018/09/22/ARTIO8OgYPcRyHDfYTu8Twz5180922.shtml","9月20日晚，2018华侨城旅游文化节新闻发布会暨启动仪式在京举办。发布会现场，华侨城集团对即将正式开启的“欢乐在一起——2018华侨城文化旅游节”进行推介；展示旗下核心文化旅游产品，并重磅发布华侨城电商平台——“花橙旅游”上线。",,,"书画","2021-05-27 18:19:06"
"“首届全国美术高峰论坛”圆满闭幕","http://arts.cctv.com/2018/09/13/ARTIh4EOM4ubFjjyy6Yz8Oga180913.shtml","“首届全国美术高峰论坛”于9月12日下午在山东济南落下帷幕。百余位来自全国各地的美术理论、评论界的专家学者在这里展开了智慧与思想的碰撞。",,,"书画","2021-05-27 18:19:06"
"“首届全国美术高峰论坛”在山东济南召开","http://arts.cctv.com/2018/09/11/ARTIT0Dn5k1jvCwpZlAZyBO5180911.shtml","9月11日，“首届全国美术高峰论坛”在山东济南开幕。本届论坛由中共山东省委宣传部、中国美术家协会、山东省文学艺术界联合会主办，山东省美术家协会承办。",,,"书画","2021-05-27 18:19:06"
"“翰墨光明行”——走进香格里拉","http://arts.cctv.com/2018/09/11/ARTI7D8ABviSdwhQcNG2PPA7180911.shtml","2018年8月25日——31日，在援藏基金会理事长十一世班禅大师的高度重视和亲切关怀下，翰墨光明行十周年活动走进了香格里拉藏区。",,,"书画","2021-05-27 18:19:06"
"北京介居书院美术馆开馆展（沈鹏诗稿）在京开幕","http://arts.cctv.com/2018/09/11/ARTIMI5QJ4piRxWjavf239rv180911.shtml","北京介居书院美术馆开馆展（沈鹏诗稿）在京开幕。 本次展出作品多为沈鹏先生近几年的诗稿小品，弥漫着浓浓的艺术气息和书卷诗意，沈先生为当代书坛公认的学者型诗人书法家，在他身上既有艺术家的修养和气质，又有学者和诗人的雅逸境界。",,,"书画","2021-05-27 18:19:06"
"稀世瑰宝 怀素《小草千字文》纸本真迹欣赏","http://arts.cctv.com/2018/09/04/ARTIjSM5ApFLKp0pmLBkLopK180904.shtml","中国在唐代时期，已经出现了多位杰出的书法家。如欧阳询、虞世南、陆柬之、褚遂良、李世民、薛稷、孙过庭、钟绍京、贺知章、李邕、徐浩、张旭、李白、颜真卿、怀素、李阳冰、柳公权、杜牧等，他们的名字犹如耀眼的明珠。",,,"书画","2021-05-27 18:19:06"
"门头沟区少儿书画创作大赛暨少儿书画作品展开幕","http://arts.cctv.com/2018/08/29/ARTIBj7cRV3yLB9JK1Z7bLyU180829.shtml","8月26日，由北京市门头沟区精神文明建设委员会办公室主办，北京市门头沟区文联、北京市门头沟区教委、门头沟区少年宫联合主办的“童画文明城·手绘新时代”门头沟区少儿书画创作大赛暨少儿“创城”书画作品展在门头沟区少年宫拉开帷幕。",,,"书画","2021-05-27 18:19:06"
"赵学敏撰报告文学《国宝大熊猫》暨诗词书法赏析会在京举行","http://arts.cctv.com/2018/08/28/ARTIqSOhbk0moi9Yld8RTKaF180828.shtml","8月26日上午，位于北京西郊的中国生态书画院内，来自全国的著名报告文学作家、著名的书法家等欢聚一堂，一起饶有兴致地品读赏析赵学敏先生新近撰写并发表的报告文学《国宝大熊猫团团圆圆故事》。",,,"书画","2021-05-27 18:19:06"
"丰子恺作品的市场走向","http://arts.cctv.com/2018/08/24/ARTI9UAG1j0g1pzvGU2yqlea180824.shtml","丰子恺（1898～1975年），名仁，又名婴行，号子觊，后改为子恺，堂号缘缘堂，浙江桐乡人，是我国现代著名的书画家、文学家、散文家、翻译家、美术音乐教育理论家，也是20世纪中国艺坛上不可缺席的重量级人物。",,,"书画","2021-05-27 18:19:06"
"《通用规范汉字篆书书法字典》在2018上海书展首发","http://arts.cctv.com/2018/08/23/ARTIKn6lYmooY7wAYMv4Gagn180823.shtml","由军旅书法家王讯谟历时5年编撰、上海文化出版社出版的《通用规范汉字篆书书法字典》于8月20日在2018上海书展首发。",,,"书画","2021-05-27 18:19:06"
"第五届中国非物质文化遗产博览会即将在济南举办","http://arts.cctv.com/2018/08/22/ARTIP5umc3WyUYNcvHPnQllY180822.shtml","2018年9月13日，第五届中国非物质文化遗产博览会将在泉城济南盛大开幕。本届中国非遗博览会的主题为“活态传承、活力再现”。",,,"书画","2021-05-27 18:19:06"
"第八届中国北京国际美术双年展筹备工作正式启动","http://arts.cctv.com/2018/08/17/ARTIacgoGskjyYBKybTTWga9180817.shtml","8月17日上午，由中国文联、北京市政府和中国美协联合主办，以“多彩世界与共同命运”为主题的第八届中国北京国际美术双年展，在中国文联报告厅召开了筹备启动新闻发布会。",,,"书画","2021-05-27 18:19:06"
"《四景山水图》特种邮票故宫首发 “2018集邮周”启动","http://arts.cctv.com/2018/08/16/ARTIqcIEFFav2ojPsumwug8A180816.shtml","2018年8月4日，由故宫博物院和中国邮政集团公司、中华全国集邮联合会共同主办的《四景山水图》特种邮票首发式暨“2018集邮周”启动仪式在故宫建福宫花园举行。",,,"书画","2021-05-27 18:19:06"
"“全球华人少年书法大会”总决赛举办地调研","https://arts.cctv.com/2018/08/15/ARTIgxlKAAvRiWvJYRPFBjqW180815.shtml","2018年8月9日至10日，“全球华人少年书法大会”组委会前往广东省肇庆市，对第三届“全球华人少年书法大会”总决赛举办地及当地的少年书法教育状况进行调研。",,,"书画","2021-05-27 18:19:06"
"“中国手艺小镇寻找最美手艺传承人”活动启动","http://arts.cctv.com/2018/08/13/ARTIoXjPrTYCAyyMfp5uqkEd180813.shtml","由中国国际书画艺术研究会、中国美术家协会少儿美术艺术委员会、中国收藏家协会、中国女画家协会等11家部门联合举办的“少儿强 中国强 中国手艺小镇寻找最美手艺传承人”活动在侯马成功启动。",,,"书画","2021-05-27 18:19:06"
"齐白石《借山图》的艺术特色和独特性","http://arts.cctv.com/2018/08/02/ARTIKkIYU2rYdlj12n2IunQt180802.shtml","8年的“五出五归”之后，齐白石形成了自己的独特的山水画语言。与晚清临摹四王的程式化山水不同，《借山图卷》来自对途中真实山水的写生稿和印象。",,,"书画","2021-05-27 18:19:06"
"“纪念改革开放40周年全国美术作品展”在京展出","http://arts.cctv.com/2018/08/02/ARTIOxSeth5ARAhfidCCzCmA180802.shtml","2018年7月27日，由中国美术家协会、中国美术馆、广东省文学艺术界联合会联合主办的“大潮起珠江——纪念改革开放40周年全国美术作品展”在中国美术馆展出。",,,"书画","2021-05-27 18:19:06"
"迎“八一”，中国美术馆为军人塑像","http://arts.cctv.com/2018/08/01/ARTIUSPzlnrkLkM27kd2cgQK180801.shtml","为庆祝“八一”建军节，通过艺术创作和艺术教育的鲜活方式开展国防教育和双拥宣传，推动形成关心国防、尊崇军人的良好社会风尚，2018年7月31日中国美术馆在中国美术馆艺术教育空间举行“中国美术馆为军人塑像”雕塑工作坊活动。",,,"书画","2021-05-27 18:19:06"
"“艺道寻真——张安治的艺术人生”在中国美术馆开展","http://arts.cctv.com/2018/07/27/ARTIy7WZduOByxwnMlhKziIq180727.shtml","7月26日，由中国美术馆主办的“艺道寻真——张安治的艺术人生”在中国美术馆开展。展览分为三个篇章，“真中之梦”“梦中之真”“学人·文心”，展出张安治油画、国画、素描、速写、粉画、水彩、书法作品共计139件。",,,"书画","2021-05-27 18:19:06"
"中国美协壁画、水彩画、环境设计、工业设计艺术委员会在京换届","http://arts.cctv.com/2018/07/24/ARTIQNzvE5EHVzgE0u8UNX9f180724.shtml","7月24日，“中国美术家协会壁画、水彩画、环境设计、工业设计艺术委员会换届大会”在北京召开。",,,"书画","2021-05-27 18:19:06"
"中国古代有漫画吗？","http://arts.cctv.com/2018/07/20/ARTIXC4xCvuYni3lDqDbmC84180720.shtml","“中国漫画”成为独立画种的时间是在清末民初。1898年香港《辅仁导报》上的《时局图》发表之后，中国漫画呈现出井喷之势，当时出现的这个新画种被学界统称为“中国近代漫画” 。",,,"书画","2021-05-27 18:19:06"
"5000年前“山东大汉”的生活","http://arts.cctv.com/2018/07/20/ARTIeWzKIRJxOlGBICtY0MNs180720.shtml","7月10日至9月9日，由中国国家博物馆、山东大学、山东省文物局、济南市人民政府联合主办的“礼出东方——山东焦家遗址考古发现展”在中国国家博物馆的展出，对这些问题做出了解答。",,,"书画","2021-05-27 18:19:06"
"中国金币与国家非遗文化高端论坛在京召开","http://arts.cctv.com/2018/07/19/ARTIS5l5zVo1Vjrb4KEJPung180719.shtml","为了更好地推进财富文化正能量的发扬，由中国金币总公司文化传播中心、中国社会艺术协会、中国亚洲经济发展协会联合主办的中国金币与国家非遗文化高端论坛于2018年7月18日在北京举办。",,,"书画","2021-05-27 18:19:06"
"那么多汉宫图，乾隆帝最爱哪幅？","http://arts.cctv.com/2018/07/16/ARTILvYXIwasERx22lpTM4Y9180716.shtml","乾隆应当是有记载观赏《汉宫秋图》的第一位皇帝。中国画的手卷，讲究从右至左观赏， 《汉宫秋图》亦是如此。徐徐展开画卷，只见由小河围成的豪宅内，殿宇回廊，绿树掩映，有小桥流水人家，亦有湖石舟楫映带……",,,"书画","2021-05-27 18:19:06"
"中外书法研习的“书”与“道”","http://arts.cctv.com/2018/07/16/ARTIwVgoBDpAzNkZCZbAxxrQ180716.shtml","楔形文字、圣书字、玛雅文字和汉字，是世界上最古老的四大文字系统，但除了汉字，其他文字系统都已绝迹。从过去到现在，从历史到现实，从民族到世界，汉字一直保有强大的生命力。",,,"书画","2021-05-27 18:19:06"
"心灵的风景：泰特不列颠美术馆珍藏展亮相上海博物馆","http://arts.cctv.com/2018/07/13/ARTIFNNFWuDFTu9aCm9voDc5180713.shtml","近日，由伦敦泰特不列颠美术馆与上海博物馆联合举办的“心灵的风景：泰特不列颠美术馆珍藏展（1700-1980）”在上海博物馆举行。",,,"书画","2021-05-27 18:19:06"
"菲律宾自然历史博物馆：老建筑让博物馆活起来","http://arts.cctv.com/2018/07/13/ARTIQwqCneLDBWMSHofxUarH180713.shtml","不久前，被护栏所围起来的建筑已经旧貌换新颜——一座让一个国家、让一座城市久久期待的菲律宾自然历史博物馆，终于开馆了。",,,"书画","2021-05-27 18:19:06"
"由民族美术走向世界艺术","http://arts.cctv.com/2018/07/13/ARTIiorRZsQniT6plRTlOTMi180713.shtml","欧洲人惯于绘制肖像并将之挂在宫殿墙上；非洲人精心制作面具却只偶尔在特殊场合使用；日本人每年不同的季节在家中悬挂相应的画卷；澳大利亚土著人几千年来都在岩壁上作画……每个国家的艺术传统各不相同",,,"书画","2021-05-27 18:19:06"
"广彩人物画瓷器——几个世纪前就开启了“读图时代”","http://arts.cctv.com/2018/07/13/ARTIM4ub32NlyT3x32qJNc0W180713.shtml","图像的力量，并不是在今天才为人们所熟知。无论东西方，祠堂、墓室、宅邸中的绘画、雕塑，以及各种各样的装饰，都在悄无声息地向它们的观赏者，输出信息流。",,,"书画","2021-05-27 18:19:06"
"良渚玉器真假之辨","http://arts.cctv.com/2018/07/09/ARTIaG93EeDCUpYy4VlMsiXM180709.shtml","刚刚过去的几天，重新开馆的良渚博物院成了朋友圈的“打卡”圣地。良渚古城遗址即将正式代表中国申报2019年世界文化遗产，“热门”不在话下。",,,"书画","2021-05-27 18:19:06"
"信札——叙事中留下书法的墨宝","http://arts.cctv.com/2018/07/09/ARTIJDQIbDJOywYgXN71mFmg180709.shtml","近些年，名人手稿手札在拍卖市场上异军突起。2013年，鲁迅《古小说钩沈》手稿成交价为690万元；鲁迅于1934年6月8日致陶亢德的一封信，在中国嘉德秋拍中，估价180万至220万元，成交价则达到了655.5万元。",,,"书画","2021-05-27 18:19:06"
"各美其美 美美与共——人类命运共同体的文化艺术呈现","http://arts.cctv.com/2018/07/09/ARTIIbneDL22tS55bjd8hfbC180709.shtml","作为国家美术馆，如何通过美术来构建人类命运共同体，讲好中国故事，让中国人民对于世界文化的包容。这个展就体现了中国美术馆在对于人类共同创造美丽人生和价值方面高度的认同，充分展现了“各美其美，美美与共”这样一种气象。",,,"书画","2021-05-27 18:19:06"
"第三届海峡两岸中青年篆刻大赛作品展","http://arts.cctv.com/2018/07/09/ARTIBtIsCWiPKsc72zvN5Ea9180709.shtml","6月28日，“文脉流芳” ——第三届海峡两岸中青年篆刻大赛作品展在福建博物院举办，共展出从1573件参赛作品中评出的100件优秀作品。",,,"书画","2021-05-27 18:19:06"
"楼兰需要一部书法史——《楼兰书法史》撰写始末","http://arts.cctv.com/2018/07/09/ARTItKOpIQjmSQb3UQtI931C180709.shtml","面对汉代、魏晋前凉时期的简牍文书，我陷入沉思：如何将挖掘出来的有价值的文史资料系统化，将那些支离破碎的文明碎片变成闪闪发光的瑰宝，将那些残简断片变成书法学有用的黄金资料。",,,"书画","2021-05-27 18:19:06"
"艺术会让我们的生活有何不同？","http://arts.cctv.com/2018/07/06/ARTIjxkuGsMEV44uvAsISu4U180706.shtml","风格各异的画挂在家里的客厅里会是什么效果？书与食物可以有怎样的关联？古代图腾与当代元素怎样融合？……这些问题都能在6月26日至7月8日，在国家大剧院举办的“艺·在生活——沉浸式艺术设计展”上找到答案。",,,"书画","2021-05-27 18:19:06"
"江口沉银——四川彭山江口古战场遗址考古成果展开幕","http://arts.cctv.com/2018/07/04/ARTIhsUgflbrs48TVMAQ5vBP180704.shtml","6月26日，由中国国家博物馆与四川省文物局、四川省眉山市人民政府共同举办的“江口沉银——四川彭山江口古战场遗址考古成果展”在中国国家博物馆开幕，将展出至9月26日。",,,"书画","2021-05-27 18:19:06"
"蒙古国现当代绘画艺术","http://arts.cctv.com/2018/07/03/ARTIZO3Uvkw2OtIrfvkcwjCd180703.shtml","和中国山水相连的邻邦蒙古国的现当代绘画艺术作品，深深植根于蒙古高原文化和东方游牧文化。20世纪50年代起，蒙古国专业画家队伍逐渐壮大。在以往单一的现实主义创作中，多了“印象主义绘画”、“精神情感绘画”等新的创作方向。",,,"书画","2021-05-27 18:19:06"
